,code,name,17ReportX,16ReportX,2007net,2008net,16net,17net,2007roe,2008roe,16roe,17roe
1095,971,高升控股,-1.24,9.15,-12586.56,1214.14,11104.25,15636.04,-66.1,2.07,5.59,4.35
1096,972,*ST中基,0.49,3.41,7546.36,-7453.37,-25411.15,3668.99,6.65,-5.85,-26.48,4.28
1097,973,佛塑科技,8.79,-0.64,1202.73,-19567.07,12565.51,10568.33,0.9,-15.81,6.0,4.87
1098,976,华铁股份,37.79,-0.11,1307.23,-28306.7,3085.38,49398.98,1.31,-32.81,1.63,12.84
1099,977,浪潮信息,37.53,14.46,1139.3,1985.43,28702.47,42753.08,1.13,2.42,7.57,8.35
1100,978,桂林旅游,1.0,0.26,5312.29,2315.29,598.54,5294.17,11.97,4.81,0.41,3.56
1101,980,众泰汽车,29.0,3.78,3918.35,2293.81,8678.44,113628.29,6.64,2.15,4.09,9.3
1102,981,银亿股份,-11.39,-3.02,-14064.9,-22614.11,68209.22,160129.33,-30.95,-108.48,5.57,9.58
1103,983,西山煤电,1.22,0.15,128633.18,295936.47,43407.65,156910.57,22.2,44.98,2.67,9.14
1104,985,大庆华科,2.43,-2.86,1983.62,-1167.71,3334.2,4815.51,4.2,-2.63,6.67,8.88
1105,987,越秀金控,3.32,2.41,19100.99,25714.21,62049.58,63331.88,20.82,24.31,6.33,5.0
1106,988,华工科技,7.2,4.08,4500.63,5637.88,22980.98,32416.19,5.88,4.75,7.51,9.38
1107,989,九芝堂,5.64,3.26,12781.5,19989.39,65180.98,72141.98,12.24,16.22,16.56,16.69
1108,990,诚志股份,15.86,4.03,5099.05,2748.91,11078.01,80850.86,5.72,2.51,3.81,5.21
1109,993,闽东电力,1.05,0.53,2146.63,4977.23,2633.05,2258.89,1.65,3.72,1.74,1.37
1110,997,新大陆,7.64,13.34,8556.83,3459.49,46134.73,65408.31,11.89,4.41,18.77,20.61
1111,999,华润三九,4.62,2.4,28188.81,49849.23,119784.06,130168.72,10.73,16.76,14.78,14.06
1112,1696,宗申动力,1.26,1.09,21615.12,26720.37,29111.76,27240.81,34.09,20.61,7.98,7.47
1113,1896,豫能控股,4.7,-1.17,1138.54,-40542.67,47346.28,5353.35,1.4914,-67.69,8.79,0.86
1114,2001,新和成,22.11,0.87,7707.12,137451.14,120263.35,170441.34,9.62,95.41,15.92,19.87
1115,2002,鸿达兴业,-37.7,-6.33,-2665.3,-12922.99,81780.24,100488.29,-9.12,-60.92,23.62,21.93
1116,2003,伟星股份,3.15,1.89,11571.58,15642.85,29547.54,36455.9,23.62,18.55,14.52,15.99
1117,2006,精功科技,13.69,-1.31,724.01,-4793.21,6285.68,9914.48,1.54,-14.88,7.0,10.16
1118,2007,华兰生物,6.82,4.17,12042.94,18725.82,78031.25,82082.35,19.75,22.09,19.85,18.48
1119,2008,大族激光,9.9,5.57,16820.28,13534.02,75426.21,166504.39,22.77,9.8,15.05,27.6
1120,2009,天奇股份,1.92,1.99,4409.41,5235.51,10394.01,8476.64,12.71,13.31,5.77,4.34
1121,2010,传化智联,4.81,9.13,9762.5,7458.5,68073.3,46940.81,15.44,11.65,6.2,4.16
1122,2011,盾安环境,0.57,0.55,16164.01,14973.39,8301.31,9228.73,23.18,12.59,1.93,2.09
1123,2012,凯恩股份,-1.86,0.35,-1646.2,2479.31,868.91,3061.46,-4.84,6.49,0.73,2.55
1124,2013,中航机电,26.8,25.57,2160.19,2280.17,58314.09,57900.84,7.64,5.73,7.92,7.37
1125,2014,永新股份,3.82,2.98,5381.14,6805.02,20271.06,20548.32,12.07,11.48,12.31,12.16
1126,2015,霞客环保,0.17,-2.93,4375.73,1408.0,-4124.19,747.97,14.49,4.29,-13.31,2.63
1127,2016,世荣兆业,12.88,1.11,7090.98,8405.11,9363.08,91298.16,-12.98,12.95,5.37,44.17
1128,2017,东信和平,0.92,1.96,4079.37,4169.9,8171.16,3772.82,9.61,9.31,9.53,4.08
1129,2019,亿帆医药,5.43,17.09,24018.93,4123.7,70476.27,130510.35,55.22,7.39,22.02,27.87
1130,2020,京新药业,175.81,-11.27,150.38,-1772.98,19975.09,26437.69,0.51,-6.13,8.68,9.17
1131,2022,科华生物,1.85,1.4,11799.73,16607.57,23240.05,21775.99,28.64,31.03,13.2,11.33
1132,2023,海特高新,0.91,1.16,3771.52,3529.39,4076.84,3436.89,7.75,6.97,1.23,0.95
1133,2024,苏宁易购,2.87,0.32,146542.6,217018.9,70441.4,421251.6,37.66,31.6,1.41,5.76
1134,2025,航天电器,3.54,2.66,8791.91,9804.99,26106.72,31139.22,10.61,9.32,12.71,13.81
1135,2026,山东威达,3.09,3.55,4068.47,2926.2,10397.6,12554.82,8.39,5.91,5.25,5.47
1136,2027,分众传媒,114.76,995.86,5232.39,446.97,445121.17,600470.68,7.58,0.63,70.73,67.65
1137,2028,思源电气,0.91,1.01,27240.75,34639.61,35142.51,24919.12,22.53,17.68,8.7,5.82
1138,2029,七匹狼,3.57,1.75,8869.65,15299.73,26719.16,31657.92,17.59,13.7,5.24,5.96
1139,2030,达安基因,2.47,3.05,3503.64,3493.94,10668.55,8644.78,12.26,12.41,7.71,5.29
1140,2031,巨轮智能,0.73,0.49,8759.78,6458.81,3154.66,6370.18,14.81,9.32,1.06,2.14
1141,2032,苏泊尔,7.61,4.56,17193.96,23650.7,107734.2,130760.66,15.94,13.19,22.79,26.87
1142,2033,丽江旅游,3.06,4.87,6678.29,4593.09,22382.36,20421.22,20.47,12.38,10.45,9.1
1143,2036,联创电子,17.11,12.16,1657.95,1731.54,21047.95,28369.8,4.93,5.09,13.94,16.33
1144,2037,久联发展,1.96,1.95,3925.21,3176.15,6193.75,7677.4,8.84,8.35,3.09,3.75
1145,2038,双鹭药业,3.96,2.08,13480.06,21785.87,45210.76,53357.54,27.79,33.33,12.06,13.03
1146,2039,黔源电力,23.03,1.27,1391.15,10203.6,12961.37,32034.99,3.34,21.71,6.14,14.39
1147,2040,南京港,5.17,7.0,2056.82,1209.17,8461.13,10632.95,3.96,2.29,10.91,4.5
1148,2041,登海种业,22.02,169.94,756.96,260.2,44219.68,16670.31,1.09,0.39,17.93,6.08
1149,2043,兔宝宝,9.91,9.79,3682.05,2653.83,25983.01,36488.24,9.25,6.75,17.57,20.75
1150,2044,美年健康,24.37,34.54,2518.27,1307.66,45170.1,61380.01,8.8,4.35,7.94,10.0
1151,2045,国光电器,1.66,0.68,7871.33,8842.73,6042.35,13077.9,11.75,11.75,4.55,9.42
1152,2047,宝鹰股份,6.69,7.79,5481.17,4360.41,33950.82,36676.77,7.65,5.79,12.99,12.32
