,code,17PriceX,16PriceX
800,000663,1.3,3.54
801,000665,1.19,5.68
802,000666,1.98,9.63
803,000667,0.57,2.2
804,000669,2.96,7.74
805,000677,0.36,2.66
806,000679,0.78,4.83
807,000680,0.44,1.18
808,000681,2.39,7.92
809,000683,0.4,1.46
810,000685,1.0,2.49
811,000686,0.45,2.32
812,000687,1.61,5.59
813,000692,1.16,4.76
814,000698,0.57,1.73
815,000700,1.15,7.47
816,000701,1.18,5.0
817,000702,0.97,3.95
818,000703,5.39,27.35
819,000705,1.98,5.45
820,000707,0.43,1.72
821,000708,0.86,4.95
822,000709,0.28,0.96
823,000710,3.98,10.31
824,000712,1.73,9.64
825,000713,1.0,1.48
826,000715,0.6,2.43
827,000717,0.8,1.86
828,000718,0.62,4.12
829,000720,0.59,2.67
830,000721,1.16,5.02
831,000722,1.07,4.97
832,000725,0.57,1.37
833,000726,0.81,4.12
834,000728,0.47,2.28
835,000729,0.67,1.19
836,000731,0.6,1.94
837,000733,1.53,4.42
838,000735,1.27,2.47
839,000737,0.47,1.89
840,000738,1.99,6.49
841,000739,1.65,5.54
842,000751,0.39,2.56
843,000752,1.65,5.28
844,000753,1.34,3.98
845,000755,0.22,1.73
846,000756,1.68,3.52
847,000758,0.56,2.94
848,000759,0.96,1.23
849,000760,0.93,5.45
850,000761,0.38,1.44
851,000762,1.06,3.37
852,000767,0.25,1.42
853,000768,1.03,4.17
854,000777,0.91,3.95
855,000778,0.98,2.3
856,000779,1.7,5.48
857,000780,0.33,1.34
858,000783,0.61,3.6
859,000785,1.01,3.35
860,000786,4.95,10.18
861,000788,2.62,6.86
862,000789,1.99,3.83
863,000790,0.98,5.08
864,000791,0.91,3.92
865,000792,0.29,0.4
866,000793,0.99,4.08
867,000795,1.48,4.68
868,000796,1.35,5.21
869,000797,1.89,3.76
870,000798,1.02,2.57
871,000801,1.9,8.93
872,000802,1.16,6.8
873,000807,0.69,1.97
874,000809,0.54,1.88
875,000810,1.39,8.51
876,000811,2.0,9.25
877,000813,1.93,5.37
878,000815,1.49,7.43
879,000816,0.74,2.1
880,000819,0.76,2.27
881,000822,0.55,1.46
882,000823,1.41,3.31
883,000825,0.32,1.21
884,000828,1.02,6.2
885,000830,2.69,1.8
886,000831,0.76,3.02
887,000833,0.72,2.01
888,000835,0.98,2.87
889,000836,1.5,4.9
890,000837,0.58,1.97
891,000838,0.97,7.71
892,000839,1.49,4.56
893,000848,2.44,7.06
894,000850,0.51,2.58
895,000851,0.8,2.39
896,000852,0.72,3.97
897,000856,2.96,4.38
898,000858,2.04,3.91
899,000859,0.74,2.91
900,000860,1.14,2.12
901,000861,1.24,4.21
902,000862,0.44,1.7
903,000868,2.58,5.74
904,000869,0.68,1.23
905,000875,0.46,1.98
906,000876,1.19,4.49
907,000877,2.13,1.5
908,000878,0.27,1.43
909,000881,1.19,6.64
910,000882,0.3,1.72
911,000883,1.5,5.66
912,000885,1.97,5.18
913,000886,1.22,2.4
914,000888,1.49,5.72
915,000889,1.65,3.82
916,000890,0.98,4.76
917,000893,1.65,1.82
918,000895,2.2,4.3
919,000897,0.33,1.43
920,000898,0.24,0.75
921,000899,0.71,3.67
922,000905,1.19,1.85
923,000906,0.82,5.07
924,000909,1.72,6.83
925,000910,1.68,5.31
926,000911,0.63,2.75
927,000915,3.8,12.26
928,000917,1.0,2.45
929,000919,0.75,3.72
930,000920,1.26,3.61
931,000921,1.73,5.15
932,000922,0.84,3.82
933,000923,2.13,5.58
934,000927,0.32,1.62
935,000928,1.31,4.5
936,000929,0.83,3.88
937,000933,0.71,1.58
938,000935,1.16,4.63
939,000936,1.24,6.16
940,000937,0.62,1.48
941,000938,3.49,7.01
942,000948,1.16,3.21
